gpl,constraint,confidence,demand,base_revenue,constr_revenue
AMPSEAL Connectors,None,High,4628545,12872096,4585969
AMPSEAL Headers,None,High,5679555,11811243,5624316
AS16 2-3Plug,EMP Molding,Low,1214105,1528266,1193587
AS16 4-12Plug,EMP Molding,Low,2764522,3112753,4057778
AS16 CAP,EMP Molding,Low,1019825,1373055,1263202
Cable Assemblies,Other,Low,1735091,1856283,2061834
DRC,EMP Molding,Low,5215770,5935748,5356815
DT 2,Capacity,High,8599275,9013275,8465600
DT 3,Capacity,High,4318373,3878923,4225978
DT 4,None,High,4885772,5490150,4888924
DT 6,None,High,4623715,5930817,4518780
DT 8,None,High,3574021,5385843,3539672
DT 12,None,High,7126057,8095013,7032994
DTM,EMP Molding,Low,9096261,10188954,9092301
Engels,Engels,Low,12487021,14778721,16206208
HD30,EMP Molding,Low,6055536,6078831,5818430
HDE Volvo,Other,Low,51063,908153,282279
HDP,EMP Molding,Low,16313787,20266655,16108945
HDSCS Rec A,None,High,2067703,3061981,2052814
HDSCS Rec B,Capacity,High,2256671,3952300,2246856
HDSCS Rec CDE,Capacity,High,5507020,5976801,5854975
HDSCS Tab A,Capacity,High,732742,789788,845388
HDSCS Tab BCDE,Capacity,High,4540200,7682115,4599100
Kissling Inductive Switches,Kissling,High,2137645,1089209,1852004
Kissling Limit Switches,Kissling,High,1353524,2332195,2106520
Kissling PDUs,Kissling,High,2813560,3862903,2813560
Kissling Relays,Kissling,High,4457696,8847538,3831868
Leavyseal,Capacity,High,2028689,2171846,2169371
Leavyseal Ass 26POS REC,Capacity,High,576964,818479,604243
Leavyseal Rec 31-39-62pos,Capacity,High,5683322,7279353,5600998
Rivian,Other,Low,1743114,2186319,1651040
S&F Pins - Size 12,S&F,High,438042,486896,437097
S&F Pins - Size 14/16 ,S&F,High,4592659,10945453,4427497
S&F Pins - Size 20,S&F,High,1228401,2071468,1228139
S&F Sockets - Size 12 ,S&F,High,755765,1141539,1019544
S&F Sockets - Size 14/16 ,S&F,High,10535130,16411756,10560335
S&F Sockets - Size 20 ,S&F,High,3389013,4879672,4169847
Superseal 1.0 Stamped Contact,Capacity,High,1885617,3005483,3297705
Superseal 1.0 Headers,Capacity,High,2506547,2229584,2672610
Superseal Plugs 34&26P,Capacity,High,3156195,5402404,3006253
Superseal Plugs 44P,None,High,232942,341213,239052
Unsealed Connectors K-239,Capacity,High,1328289,1279660,1279660
Unsealed Headers,None,High,1692349,3733914,1975779
USCAR,USCAR,High,1909868,3232560,1845250
Wabco Ford & FAST,Other,Low,0,0,0
Wabco Ford & FAST (separate line),Other,Low,0,0,0
WABCO VOLVO,Other,Low,417460,577224,417468
All Others,Other,High,234695873,244326238,244326238
