fiscal_month_label,fiscal_month_id,rel_month_id,weeks_per_month,fiscal_quarter_label,fiscal_quarter_id
FY23-OCT,2023M1,0,4,FY23-Q1,2023Q1
FY23-NOV,2023M2,1,5,FY23-Q1,2023Q1
FY23-DEC,2023M3,2,4,FY23-Q1,2023Q1
FY23-JAN,2023M4,3,4,FY23-Q2,2023Q2
FY23-FEB,2023M5,4,5,FY23-Q2,2023Q2
FY23-MAR,2023M6,5,4,FY23-Q2,2023Q2
FY23-APR,2023M7,6,4,FY23-Q3,2023Q3
FY23-MAY,2023M8,7,5,FY23-Q3,2023Q3
FY23-JUN,2023M9,8,4,FY23-Q3,2023Q3
FY23-JUL,2023M10,9,4,FY23-Q4,2023Q4
FY23-AUG,2023M11,10,5,FY23-Q4,2023Q4
FY23-SEP,2023M12,11,4,FY23-Q4,2023Q4
FY24-OCT,2024M1,12,4,FY24-Q1,2024Q1
FY24-NOV,2024M2,13,5,FY24-Q1,2024Q1
FY24-DEC,2024M3,14,4,FY24-Q1,2024Q1
FY24-JAN,2024M4,15,4,FY24-Q2,2024Q2
FY24-FEB,2024M5,16,5,FY24-Q2,2024Q2
FY24-MAR,2024M6,17,4,FY24-Q2,2024Q2
FY24-APR,2024M7,18,4,FY24-Q3,2024Q3
FY24-MAY,2024M8,19,5,FY24-Q3,2024Q3
FY24-JUN,2024M9,20,4,FY24-Q3,2024Q3
FY24-JUL,2024M10,21,4,FY24-Q4,2024Q4
FY24-AUG,2024M11,22,5,FY24-Q4,2024Q4
FY24-SEP,2024M12,23,4,FY24-Q4,2024Q4
FY25-OCT,2025M1,24,4,FY25-Q1,2025Q1
FY25-NOV,2025M2,25,5,FY25-Q1,2025Q1
FY25-DEC,2025M3,26,4,FY25-Q1,2025Q1
FY25-JAN,2025M4,27,4,FY25-Q2,2025Q2
FY25-FEB,2025M5,28,5,FY25-Q2,2025Q2
FY25-MAR,2025M6,29,4,FY25-Q2,2025Q2
FY25-APR,2025M7,30,4,FY25-Q3,2025Q3
FY25-MAY,2025M8,31,5,FY25-Q3,2025Q3
FY25-JUN,2025M9,32,4,FY25-Q3,2025Q3
FY25-JUL,2025M10,33,4,FY25-Q4,2025Q4
FY25-AUG,2025M11,34,5,FY25-Q4,2025Q4
FY25-SEP,2025M12,35,4,FY25-Q4,2025Q4
